name,latitude,longitude,Unnamed: 3,geometry
BluesRoadMusic RadioClub Inc,40.7669404,-73.93423179999999,,"{'location': {'lat': 40.7669404, 'lng': -73.93423179999999}, 'viewport': {'northeast': {'lat': 40.7681872302915, 'lng': -73.93298061970849}, 'southwest': {'lat': 40.7654892697085, 'lng': -73.93567858029151}}}"
McCaffrey & Burke Bar & Grill,40.76725319999999,-73.9213363,,"{'location': {'lat': 40.76725319999999, 'lng': -73.9213363}, 'viewport': {'northeast': {'lat': 40.7688154302915, 'lng': -73.9197058197085}, 'southwest': {'lat': 40.7661174697085, 'lng': -73.9224037802915}}}"
Katch Astoria,40.7673072,-73.9202194,,"{'location': {'lat': 40.7673072, 'lng': -73.9202194}, 'viewport': {'northeast': {'lat': 40.76854143029149, 'lng': -73.9190327197085}, 'southwest': {'lat': 40.7658434697085, 'lng': -73.9217306802915}}}"
Sport Bar Grill,40.7671441,-73.92248479999999,,"{'location': {'lat': 40.7671441, 'lng': -73.92248479999999}, 'viewport': {'northeast': {'lat': 40.7684596802915, 'lng': -73.92106561970849}, 'southwest': {'lat': 40.7657617197085, 'lng': -73.9237635802915}}}"
Fresco’s Grand Cantina,40.7673698,-73.9213087,,"{'location': {'lat': 40.7673698, 'lng': -73.9213087}, 'viewport': {'northeast': {'lat': 40.7686679802915, 'lng': -73.91985436970849}, 'southwest': {'lat': 40.7659700197085, 'lng': -73.92255233029151}}}"
Irish Whiskey Bar,40.7674382,-73.9212778,,"{'location': {'lat': 40.7674382, 'lng': -73.9212778}, 'viewport': {'northeast': {'lat': 40.7687202802915, 'lng': -73.9198245697085}, 'southwest': {'lat': 40.76602231970851, 'lng': -73.9225225302915}}}"
Mc’s,40.7672923,-73.9212976,,"{'location': {'lat': 40.7672923, 'lng': -73.9212976}, 'viewport': {'northeast': {'lat': 40.7686047302915, 'lng': -73.9198682197085}, 'southwest': {'lat': 40.76590676970851, 'lng': -73.92256618029151}}}"
Olympiacos Fan Club of New York,40.76667399999999,-73.9212297,,"{'location': {'lat': 40.76667399999999, 'lng': -73.9212297}, 'viewport': {'northeast': {'lat': 40.76807693029149, 'lng': -73.9198367197085}, 'southwest': {'lat': 40.76537896970849, 'lng': -73.92253468029152}}}"
Meat & Salt,40.7681918,-73.9208848,,"{'location': {'lat': 40.7681918, 'lng': -73.9208848}, 'viewport': {'northeast': {'lat': 40.7694901802915, 'lng': -73.9196239697085}, 'southwest': {'lat': 40.7667922197085, 'lng': -73.9223219302915}}}"
Deja Vu New York,40.76730999999999,-73.91792,,"{'location': {'lat': 40.76730999999999, 'lng': -73.91792}, 'viewport': {'northeast': {'lat': 40.7687129802915, 'lng': -73.91652206970849}, 'southwest': {'lat': 40.7660150197085, 'lng': -73.9192200302915}}}"
Dominie's,40.7657405,-73.9185937,,"{'location': {'lat': 40.7657405, 'lng': -73.9185937}, 'viewport': {'northeast': {'lat': 40.76703253029149, 'lng': -73.9172910697085}, 'southwest': {'lat': 40.7643345697085, 'lng': -73.9199890302915}}}"
Dream Cafe hookah lounge,40.76699,-73.912781,,"{'location': {'lat': 40.76699, 'lng': -73.912781}, 'viewport': {'northeast': {'lat': 40.7682956302915, 'lng': -73.9113180197085}, 'southwest': {'lat': 40.7655976697085, 'lng': -73.91401598029151}}}"
Taj Mahal Lounge,40.76715300000001,-73.912019,,"{'location': {'lat': 40.76715300000001, 'lng': -73.912019}, 'viewport': {'northeast': {'lat': 40.76854968029151, 'lng': -73.91079766970849}, 'southwest': {'lat': 40.76585171970851, 'lng': -73.9134956302915}}}"
Sands of Persia Lounge & Restaurant,40.7677457,-73.911565,,"{'location': {'lat': 40.7677457, 'lng': -73.911565}, 'viewport': {'northeast': {'lat': 40.7691694302915, 'lng': -73.91023871970849}, 'southwest': {'lat': 40.7664714697085, 'lng': -73.9129366802915}}}"
Rotana Lounge,40.7666108,-73.9124442,,"{'location': {'lat': 40.7666108, 'lng': -73.9124442}, 'viewport': {'northeast': {'lat': 40.76802103029149, 'lng': -73.91122056970849}, 'southwest': {'lat': 40.7653230697085, 'lng': -73.9139185302915}}}"
Jasmin Lounge,40.76680249999999,-73.9128762,,"{'location': {'lat': 40.76680249999999, 'lng': -73.9128762}, 'viewport': {'northeast': {'lat': 40.7681138302915, 'lng': -73.9114390197085}, 'southwest': {'lat': 40.7654158697085, 'lng': -73.9141369802915}}}"
Sissy McGinty's,40.76617999999999,-73.912814,,"{'location': {'lat': 40.76617999999999, 'lng': -73.912814}, 'viewport': {'northeast': {'lat': 40.76757598029149, 'lng': -73.91158851970849}, 'southwest': {'lat': 40.7648780197085, 'lng': -73.9142864802915}}}"
Studio 59 Lounge,40.7689364,-73.9128952,,"{'location': {'lat': 40.7689364, 'lng': -73.9128952}, 'viewport': {'northeast': {'lat': 40.7703215302915, 'lng': -73.9116236197085}, 'southwest': {'lat': 40.7676235697085, 'lng': -73.91432158029151}}}"
Alpha Astoria,40.76869130000001,-73.91064659999999,,"{'location': {'lat': 40.76869130000001, 'lng': -73.91064659999999}, 'viewport': {'northeast': {'lat': 40.77009373029151, 'lng': -73.90926611970849}, 'southwest': {'lat': 40.76739576970851, 'lng': -73.9119640802915}}}"
Aloha NYC,40.76896860000001,-73.9128861,,"{'location': {'lat': 40.76896860000001, 'lng': -73.9128861}, 'viewport': {'northeast': {'lat': 40.7704114302915, 'lng': -73.91150301970849}, 'southwest': {'lat': 40.7677134697085, 'lng': -73.91420098029151}}}"
TABOO Astoria,40.76586270000001,-73.9130582,,"{'location': {'lat': 40.76586270000001, 'lng': -73.9130582}, 'viewport': {'northeast': {'lat': 40.7672682802915, 'lng': -73.91183211970849}, 'southwest': {'lat': 40.7645703197085, 'lng': -73.91453008029151}}}"
Depósito,40.76839999999999,-73.90967800000001,,"{'location': {'lat': 40.76839999999999, 'lng': -73.90967800000001}, 'viewport': {'northeast': {'lat': 40.76986723029149, 'lng': -73.9082804197085}, 'southwest': {'lat': 40.76716926970849, 'lng': -73.91097838029151}}}"
Murphy's Sports Bar,40.7691363,-73.9050481,,"{'location': {'lat': 40.7691363, 'lng': -73.9050481}, 'viewport': {'northeast': {'lat': 40.7705399802915, 'lng': -73.9037365197085}, 'southwest': {'lat': 40.7678420197085, 'lng': -73.90643448029151}}}"
Pier 84 Chip Shop,40.7632357,-74.00053009999999,,"{'location': {'lat': 40.7632357, 'lng': -74.00053009999999}, 'viewport': {'northeast': {'lat': 40.7644227802915, 'lng': -73.9989864197085}, 'southwest': {'lat': 40.7617248197085, 'lng': -74.00168438029151}}}"
The Landmark Tavern,40.7631984,-73.9963363,,"{'location': {'lat': 40.7631984, 'lng': -73.9963363}, 'viewport': {'northeast': {'lat': 40.76463028029149, 'lng': -73.9950331197085}, 'southwest': {'lat': 40.76193231970849, 'lng': -73.99773108029152}}}"
Cantina Rooftop,40.7650689,-73.9960138,,"{'location': {'lat': 40.7650689, 'lng': -73.9960138}, 'viewport': {'northeast': {'lat': 40.76633158029149, 'lng': -73.99474806970849}, 'southwest': {'lat': 40.76363361970849, 'lng': -73.99744603029151}}}"
La Terraza Rooftop NYC,40.76503129999999,-73.9960396,,"{'location': {'lat': 40.76503129999999, 'lng': -73.9960396}, 'viewport': {'northeast': {'lat': 40.76629088029149, 'lng': -73.99470006970849}, 'southwest': {'lat': 40.76359291970849, 'lng': -73.99739803029149}}}"
Cantina bar,40.7649988,-73.9958546,,"{'location': {'lat': 40.7649988, 'lng': -73.9958546}, 'viewport': {'northeast': {'lat': 40.7662555302915, 'lng': -73.9942857197085}, 'southwest': {'lat': 40.7635575697085, 'lng': -73.9969836802915}}}"
Hardware,40.76327570000001,-73.9932027,,"{'location': {'lat': 40.76327570000001, 'lng': -73.9932027}, 'viewport': {'northeast': {'lat': 40.76455773029151, 'lng': -73.99171036970849}, 'southwest': {'lat': 40.76185976970851, 'lng': -73.99440833029149}}}"
